langage_code,proportion(%)
uk,14.153490165831084
en,11.145391438488238
ar,10.489780177400695
cs,10.142691862707288
ru,4.087929039722329
ko,3.9722329348245276
fr,3.702275356729657
de,3.6637099884303894
sr-cyrl,3.23949093713845
ca,3.1237948322406477
it,2.7381411492479755
es,2.6224450443501737
gl,2.6224450443501737
fa,2.3139220979560355
eu,2.2753567296567683
sq,1.8897030466640956
pt,1.774006941766294
da,1.2340917855765523
ro,1.2340917855765523
he,1.1183956806787505
id,1.0798303123794832
pl,1.0026995757809487
sl,0.9255688391824143
bg,0.887003470883147
hu,0.8484381025838797
vi,0.7713073659853451
el,0.6556112610875434
nl,0.6556112610875434
af,0.5784805244890089
bs,0.5784805244890089
su,0.5013497878904744
ckb,0.46278441959120714
bar,0.4242190512919399
zh,0.4242190512919399
cy,0.38565368299267255
pa-guru,0.38565368299267255
th,0.38565368299267255
lt,0.3085229463941381
ja,0.2699575780948708
sv,0.2699575780948708
yue,0.23139220979560357
tr,0.15426147319706904
sk,0.11569610489780179
mhr,0.11569610489780179
ur,0.03856536829926726
